test,reset_ordinal,release_cycle,first_fetch_cycle,first_fetch_latency,first_fetch_pc,first_commit_cycle,first_commit_latency,first_commit_pc,status
P1_RESET_AND_LOAD_RESPONSE,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
P1_RESET_AND_LOAD_RESPONSE,2,12555,14044,1489,0x0000000000010040,15717,3162,0x0000000000010040,PASS
P2_RESET_AND_STORE_ACCEPT,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
P2_RESET_AND_STORE_ACCEPT,2,11855,13344,1489,0x0000000000010040,15017,3162,0x0000000000010040,PASS
P3_EXCEPTION_AND_BRANCH_MISPREDICT,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
P5_COMMIT_AND_TRACE_BACKPRESSURE,1,5,2491,2486,0x0000000000010040,4167,4162,0x0000000000010040,PASS
P6_COMMIT_AND_STORE_BACKPRESSURE,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
P7_REDIRECT_AND_IMEM_RESPONSE,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
N0_NORMAL_INDEPENDENT_ALU,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
N1_NORMAL_RAW_CHAIN,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
N2_NORMAL_BRANCH_TAKEN,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
N3_NORMAL_BRANCH_NOT_TAKEN,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
N4_NORMAL_NESTED_BRANCH,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
N5_NORMAL_LOAD_STORE,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
N6_NORMAL_TOHOST,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,2,5249,6738,1489,0x0000000000010040,8411,3162,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,3,8416,9905,1489,0x0000000000010040,11578,3162,0x0000000000010040,PASS
R9_RESET_DURING_RESET_INITIALIZATION,1,5,,,,,,,INTERRUPTED
R9_RESET_DURING_RESET_INITIALIZATION,2,29,2515,2486,0x0000000000010040,4188,4159,0x0000000000010040,PASS
R10_RESET_IMMEDIATELY_AFTER_RELEASE,1,5,,,,,,,INTERRUPTED
R10_RESET_IMMEDIATELY_AFTER_RELEASE,2,10,2496,2486,0x0000000000010040,4169,4159,0x0000000000010040,PASS
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,2,11856,13345,1489,0x0000000000010040,15018,3162,0x0000000000010040,PASS
