array,source_file,source_line,partition_type,dimension,element_count,reason,expected_storage,risk
state_rename_int_map_table_br_snapshots.24,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.25,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.26,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.27,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.28,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.29,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.30,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.31,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
next_state.decode.dec_uops.uopc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.debug_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.is_rvc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.debug_pc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.iq_type,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.fu_code,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.br_type,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.op1_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.op2_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.imm_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.op_fcn,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.fcn_dw,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.csr_cmd,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.is_load,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.is_sta,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.ctrl.is_std,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.iw_state,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.iw_p1_poisoned,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.iw_p2_poisoned,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.br_mask,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.br_tag,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.ftq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.pc_lob,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.edge_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.taken,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.is_br,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.is_jalr,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.is_jal,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.branch.is_sfb,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.imm_packed,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.csr_addr,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.queue.rob_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.queue.ldq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.decode.dec_uops.queue.stq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.decode.dec_uops.queue.rxq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.ldst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.lrs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.lrs2,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.lrs3,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.pdst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.prs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.prs2,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.prs3,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.ppred,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.prs1_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.prs2_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.prs3_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.ppred_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.stale_pdst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.dst_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.lrs1_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.lrs2_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.frs3_en,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.fp_val,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.rename.fp_single,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exception,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc_cause,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.bypassable,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.mem_cmd,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.mem_size,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.mem_signed,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.is_fence,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.is_fencei,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.is_amo,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.uses_ldq,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.decode.dec_uops.mem.uses_stq,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.decode.dec_uops.mem.ldst_is_rs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.mem.ldst_val,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.is_sys_pc2epc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.is_unique,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.flush_on_commit,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc.exception,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc.exc_cause,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc.xcpt_pf_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc.xcpt_ae_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc.xcpt_ma_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc.bp_debug_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.exc.bp_xcpt_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.debug.debug_fsrc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.debug.debug_tsrc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.debug.debug_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_uops.debug.debug_pc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.decode.dec_valids,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy creates a field-level next_state temporary,scalar/register or explicit next-state field,MEDIUM
next_state.rename.int_map_table.br_snapshots,../src/boom_core_step.cpp,132,automatic,1,32x8,BoomCoreState next_state = state clones branch snapshot storage before every cycle update,"persistent RAM, not per-cycle copied temporaries",HIGH
next_state.rename.renamed_uops.uopc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.debug_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.is_rvc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.debug_pc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.iq_type,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.fu_code,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.br_type,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.op1_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.op2_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.imm_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.op_fcn,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.fcn_dw,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.csr_cmd,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.is_load,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.is_sta,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.ctrl.is_std,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.iw_state,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.iw_p1_poisoned,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.iw_p2_poisoned,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.br_mask,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.br_tag,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.ftq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.pc_lob,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.edge_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.taken,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.is_br,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.is_jalr,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.is_jal,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.branch.is_sfb,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.imm_packed,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.csr_addr,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.queue.rob_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.queue.ldq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.rename.renamed_uops.queue.stq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.rename.renamed_uops.queue.rxq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.ldst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.lrs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.lrs2,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.lrs3,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.pdst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
