test,program,xsim_status,normalize_status,architecture_status,runtime_seconds,cpp_records,csim_records,rtl_records,log,trace,normalized_trace,comparison
B2_TRACE_STALL_BURST,branch_taken,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_B2_TRACE_STALL_BURST.log,reports/gate4_0/w3/rtl_traces/branch_taken_B2_TRACE_STALL_BURST.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_B2_TRACE_STALL_BURST.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_B2_TRACE_STALL_BURST.json
B3_TRACE_RANDOM_STALL,nested_branch,PASS,PASS,PASS,6,12,12,12,reports/gate4_0/w3/full_core_rtl_logs/nested_branch_B3_TRACE_RANDOM_STALL.log,reports/gate4_0/w3/rtl_traces/nested_branch_B3_TRACE_RANDOM_STALL.jsonl,reports/gate4_0/w3/normalized_rtl_traces/nested_branch_B3_TRACE_RANDOM_STALL.jsonl,reports/gate4_0/w3/rtl_comparisons/nested_branch_B3_TRACE_RANDOM_STALL.json
B4_TRACE_STALL_AT_BRANCH_COMMIT,branch_taken,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.log,reports/gate4_0/w3/rtl_traces/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.json
B5_TRACE_STALL_AT_STORE_COMMIT,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.log,reports/gate4_0/w3/rtl_traces/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.json
I0_IMEM_READY_ALWAYS,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_I0_IMEM_READY_ALWAYS.log,reports/gate4_0/w3/rtl_traces/independent_alu_I0_IMEM_READY_ALWAYS.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_I0_IMEM_READY_ALWAYS.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_I0_IMEM_READY_ALWAYS.json
I1_IMEM_REQ_STALL,raw_chain,PASS,PASS,PASS,6,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/raw_chain_I1_IMEM_REQ_STALL.log,reports/gate4_0/w3/rtl_traces/raw_chain_I1_IMEM_REQ_STALL.jsonl,reports/gate4_0/w3/normalized_rtl_traces/raw_chain_I1_IMEM_REQ_STALL.jsonl,reports/gate4_0/w3/rtl_comparisons/raw_chain_I1_IMEM_REQ_STALL.json
I2_IMEM_RESPONSE_DELAY_1,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_I2_IMEM_RESPONSE_DELAY_1.log,reports/gate4_0/w3/rtl_traces/independent_alu_I2_IMEM_RESPONSE_DELAY_1.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_I2_IMEM_RESPONSE_DELAY_1.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_I2_IMEM_RESPONSE_DELAY_1.json
I3_IMEM_RESPONSE_DELAY_4,branch_not_taken,PASS,PASS,PASS,6,12,12,12,reports/gate4_0/w3/full_core_rtl_logs/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.log,reports/gate4_0/w3/rtl_traces/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.json
I4_IMEM_RANDOM_DELAY,nested_branch,PASS,PASS,PASS,5,12,12,12,reports/gate4_0/w3/full_core_rtl_logs/nested_branch_I4_IMEM_RANDOM_DELAY.log,reports/gate4_0/w3/rtl_traces/nested_branch_I4_IMEM_RANDOM_DELAY.jsonl,reports/gate4_0/w3/normalized_rtl_traces/nested_branch_I4_IMEM_RANDOM_DELAY.jsonl,reports/gate4_0/w3/rtl_comparisons/nested_branch_I4_IMEM_RANDOM_DELAY.json
I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT,branch_taken,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.log,reports/gate4_0/w3/rtl_traces/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.json
I6_IMEM_RESPONSE_DURING_RESET,independent_alu,PASS,PASS,PASS,6,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.log,reports/gate4_0/w3/rtl_traces/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.json
D0_DMEM_READY_ALWAYS,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_D0_DMEM_READY_ALWAYS.log,reports/gate4_0/w3/rtl_traces/load_store_D0_DMEM_READY_ALWAYS.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_D0_DMEM_READY_ALWAYS.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_D0_DMEM_READY_ALWAYS.json
D1_STORE_REQ_STALL,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_D1_STORE_REQ_STALL.log,reports/gate4_0/w3/rtl_traces/independent_alu_D1_STORE_REQ_STALL.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_D1_STORE_REQ_STALL.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_D1_STORE_REQ_STALL.json
D2_LOAD_REQ_STALL,load_store,PASS,PASS,PASS,6,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_D2_LOAD_REQ_STALL.log,reports/gate4_0/w3/rtl_traces/load_store_D2_LOAD_REQ_STALL.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_D2_LOAD_REQ_STALL.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_D2_LOAD_REQ_STALL.json
D3_LOAD_RESPONSE_DELAY,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_D3_LOAD_RESPONSE_DELAY.log,reports/gate4_0/w3/rtl_traces/load_store_D3_LOAD_RESPONSE_DELAY.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_D3_LOAD_RESPONSE_DELAY.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_D3_LOAD_RESPONSE_DELAY.json
D4_LOAD_RANDOM_DELAY,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_D4_LOAD_RANDOM_DELAY.log,reports/gate4_0/w3/rtl_traces/load_store_D4_LOAD_RANDOM_DELAY.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_D4_LOAD_RANDOM_DELAY.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_D4_LOAD_RANDOM_DELAY.json
D5_STALE_LOAD_RESPONSE_AFTER_FLUSH,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_D5_STALE_LOAD_RESPONSE_AFTER_FLUSH.log,reports/gate4_0/w3/rtl_traces/load_store_D5_STALE_LOAD_RESPONSE_AFTER_FLUSH.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_D5_STALE_LOAD_RESPONSE_AFTER_FLUSH.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_D5_STALE_LOAD_RESPONSE_AFTER_FLUSH.json
D6_STORE_DURING_BRANCH_FLUSH,branch_taken,PASS,PASS,PASS,6,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_D6_STORE_DURING_BRANCH_FLUSH.log,reports/gate4_0/w3/rtl_traces/branch_taken_D6_STORE_DURING_BRANCH_FLUSH.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_D6_STORE_DURING_BRANCH_FLUSH.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_D6_STORE_DURING_BRANCH_FLUSH.json
D7_DMEM_RESPONSE_DURING_RESET,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_D7_DMEM_RESPONSE_DURING_RESET.log,reports/gate4_0/w3/rtl_traces/load_store_D7_DMEM_RESPONSE_DURING_RESET.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_D7_DMEM_RESPONSE_DURING_RESET.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_D7_DMEM_RESPONSE_DURING_RESET.json
D8_TOHOST_STORE_BACKPRESSURE,tohost,PASS,PASS,PASS,5,5,5,5,reports/gate4_0/w3/full_core_rtl_logs/tohost_D8_TOHOST_STORE_BACKPRESSURE.log,reports/gate4_0/w3/rtl_traces/tohost_D8_TOHOST_STORE_BACKPRESSURE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/tohost_D8_TOHOST_STORE_BACKPRESSURE.jsonl,reports/gate4_0/w3/rtl_comparisons/tohost_D8_TOHOST_STORE_BACKPRESSURE.json
P0_RESET_AND_BRANCH_MISPREDICT,branch_taken,PASS,PASS,PASS,6,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_P0_RESET_AND_BRANCH_MISPREDICT.log,reports/gate4_0/w3/rtl_traces/branch_taken_P0_RESET_AND_BRANCH_MISPREDICT.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_P0_RESET_AND_BRANCH_MISPREDICT.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_P0_RESET_AND_BRANCH_MISPREDICT.json
P1_RESET_AND_LOAD_RESPONSE,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_P1_RESET_AND_LOAD_RESPONSE.log,reports/gate4_0/w3/rtl_traces/load_store_P1_RESET_AND_LOAD_RESPONSE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_P1_RESET_AND_LOAD_RESPONSE.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_P1_RESET_AND_LOAD_RESPONSE.json
P2_RESET_AND_STORE_ACCEPT,tohost,PASS,PASS,PASS,6,5,5,5,reports/gate4_0/w3/full_core_rtl_logs/tohost_P2_RESET_AND_STORE_ACCEPT.log,reports/gate4_0/w3/rtl_traces/tohost_P2_RESET_AND_STORE_ACCEPT.jsonl,reports/gate4_0/w3/normalized_rtl_traces/tohost_P2_RESET_AND_STORE_ACCEPT.jsonl,reports/gate4_0/w3/rtl_comparisons/tohost_P2_RESET_AND_STORE_ACCEPT.json
P3_EXCEPTION_AND_BRANCH_MISPREDICT,branch_taken,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_P3_EXCEPTION_AND_BRANCH_MISPREDICT.log,reports/gate4_0/w3/rtl_traces/branch_taken_P3_EXCEPTION_AND_BRANCH_MISPREDICT.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_P3_EXCEPTION_AND_BRANCH_MISPREDICT.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_P3_EXCEPTION_AND_BRANCH_MISPREDICT.json
P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE.log,reports/gate4_0/w3/rtl_traces/load_store_P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE.json
P5_COMMIT_AND_TRACE_BACKPRESSURE,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.log,reports/gate4_0/w3/rtl_traces/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.json
P6_COMMIT_AND_STORE_BACKPRESSURE,tohost,PASS,PASS,PASS,5,5,5,5,reports/gate4_0/w3/full_core_rtl_logs/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.log,reports/gate4_0/w3/rtl_traces/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.jsonl,reports/gate4_0/w3/rtl_comparisons/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.json
P7_REDIRECT_AND_IMEM_RESPONSE,branch_taken,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.log,reports/gate4_0/w3/rtl_traces/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.json
N0_NORMAL_INDEPENDENT_ALU,independent_alu,PASS,PASS,PASS,6,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_N0_NORMAL_INDEPENDENT_ALU.log,reports/gate4_0/w3/rtl_traces/independent_alu_N0_NORMAL_INDEPENDENT_ALU.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_N0_NORMAL_INDEPENDENT_ALU.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_N0_NORMAL_INDEPENDENT_ALU.json
N1_NORMAL_RAW_CHAIN,raw_chain,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/raw_chain_N1_NORMAL_RAW_CHAIN.log,reports/gate4_0/w3/rtl_traces/raw_chain_N1_NORMAL_RAW_CHAIN.jsonl,reports/gate4_0/w3/normalized_rtl_traces/raw_chain_N1_NORMAL_RAW_CHAIN.jsonl,reports/gate4_0/w3/rtl_comparisons/raw_chain_N1_NORMAL_RAW_CHAIN.json
N2_NORMAL_BRANCH_TAKEN,branch_taken,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_N2_NORMAL_BRANCH_TAKEN.log,reports/gate4_0/w3/rtl_traces/branch_taken_N2_NORMAL_BRANCH_TAKEN.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_N2_NORMAL_BRANCH_TAKEN.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_N2_NORMAL_BRANCH_TAKEN.json
N3_NORMAL_BRANCH_NOT_TAKEN,branch_not_taken,PASS,PASS,PASS,5,12,12,12,reports/gate4_0/w3/full_core_rtl_logs/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.log,reports/gate4_0/w3/rtl_traces/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.json
N4_NORMAL_NESTED_BRANCH,nested_branch,PASS,PASS,PASS,6,12,12,12,reports/gate4_0/w3/full_core_rtl_logs/nested_branch_N4_NORMAL_NESTED_BRANCH.log,reports/gate4_0/w3/rtl_traces/nested_branch_N4_NORMAL_NESTED_BRANCH.jsonl,reports/gate4_0/w3/normalized_rtl_traces/nested_branch_N4_NORMAL_NESTED_BRANCH.jsonl,reports/gate4_0/w3/rtl_comparisons/nested_branch_N4_NORMAL_NESTED_BRANCH.json
N5_NORMAL_LOAD_STORE,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_N5_NORMAL_LOAD_STORE.log,reports/gate4_0/w3/rtl_traces/load_store_N5_NORMAL_LOAD_STORE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_N5_NORMAL_LOAD_STORE.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_N5_NORMAL_LOAD_STORE.json
N6_NORMAL_TOHOST,tohost,PASS,PASS,PASS,5,5,5,5,reports/gate4_0/w3/full_core_rtl_logs/tohost_N6_NORMAL_TOHOST.log,reports/gate4_0/w3/rtl_traces/tohost_N6_NORMAL_TOHOST.jsonl,reports/gate4_0/w3/normalized_rtl_traces/tohost_N6_NORMAL_TOHOST.jsonl,reports/gate4_0/w3/rtl_comparisons/tohost_N6_NORMAL_TOHOST.json
R8_DOUBLE_RUNTIME_RESET,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_R8_DOUBLE_RUNTIME_RESET.log,reports/gate4_0/w3/rtl_traces/independent_alu_R8_DOUBLE_RUNTIME_RESET.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_R8_DOUBLE_RUNTIME_RESET.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_R8_DOUBLE_RUNTIME_RESET.json
R9_RESET_DURING_RESET_INITIALIZATION,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_R9_RESET_DURING_RESET_INITIALIZATION.log,reports/gate4_0/w3/rtl_traces/independent_alu_R9_RESET_DURING_RESET_INITIALIZATION.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_R9_RESET_DURING_RESET_INITIALIZATION.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_R9_RESET_DURING_RESET_INITIALIZATION.json
R10_RESET_IMMEDIATELY_AFTER_RELEASE,independent_alu,PASS,PASS,PASS,6,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_R10_RESET_IMMEDIATELY_AFTER_RELEASE.log,reports/gate4_0/w3/rtl_traces/independent_alu_R10_RESET_IMMEDIATELY_AFTER_RELEASE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_R10_RESET_IMMEDIATELY_AFTER_RELEASE.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_R10_RESET_IMMEDIATELY_AFTER_RELEASE.json
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,tohost,PASS,PASS,PASS,5,5,5,5,reports/gate4_0/w3/full_core_rtl_logs/tohost_R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART.log,reports/gate4_0/w3/rtl_traces/tohost_R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART.jsonl,reports/gate4_0/w3/normalized_rtl_traces/tohost_R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART.jsonl,reports/gate4_0/w3/rtl_comparisons/tohost_R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART.json
