compressed_encoding,expanded_instruction,class,r2_root_cause,r3_result
0x9095,0x0254d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9099,0x0264d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x909d,0x0274d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90a1,0x0284d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90a5,0x0294d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90a9,0x02a4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90ad,0x02b4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90b1,0x02c4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90b5,0x02d4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90b9,0x02e4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90bd,0x02f4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90c1,0x0304d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90c5,0x0314d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90c9,0x0324d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90cd,0x0334d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90d1,0x0344d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90d5,0x0354d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90d9,0x0364d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90dd,0x0374d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90e1,0x0384d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90e5,0x0394d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90e9,0x03a4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90ed,0x03b4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90f1,0x03c4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90f5,0x03d4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90f9,0x03e4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x90fd,0x03f4d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9101,0x02055513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9102,0x000100e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9105,0x02155513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9109,0x02255513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x910d,0x02355513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9111,0x02455513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9115,0x02555513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9119,0x02655513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x911d,0x02755513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9121,0x02855513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9125,0x02955513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9129,0x02a55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x912d,0x02b55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9131,0x02c55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9135,0x02d55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9139,0x02e55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x913d,0x02f55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9141,0x03055513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9145,0x03155513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9149,0x03255513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x914d,0x03355513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9151,0x03455513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9155,0x03555513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9159,0x03655513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x915d,0x03755513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9161,0x03855513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9165,0x03955513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9169,0x03a55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x916d,0x03b55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9171,0x03c55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9175,0x03d55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9179,0x03e55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x917d,0x03f55513,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9181,0x0205d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9182,0x000180e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9185,0x0215d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9189,0x0225d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x918d,0x0235d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9191,0x0245d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9195,0x0255d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9199,0x0265d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x919d,0x0275d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91a1,0x0285d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91a5,0x0295d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91a9,0x02a5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91ad,0x02b5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91b1,0x02c5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91b5,0x02d5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91b9,0x02e5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91bd,0x02f5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91c1,0x0305d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91c5,0x0315d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91c9,0x0325d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91cd,0x0335d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91d1,0x0345d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91d5,0x0355d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91d9,0x0365d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91dd,0x0375d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91e1,0x0385d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91e5,0x0395d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91e9,0x03a5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91ed,0x03b5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91f1,0x03c5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91f5,0x03d5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91f9,0x03e5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x91fd,0x03f5d593,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9201,0x02065613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9202,0x000200e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9205,0x02165613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9209,0x02265613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x920d,0x02365613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9211,0x02465613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9215,0x02565613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9219,0x02665613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x921d,0x02765613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9221,0x02865613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9225,0x02965613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9229,0x02a65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x922d,0x02b65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9231,0x02c65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9235,0x02d65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9239,0x02e65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x923d,0x02f65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9241,0x03065613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9245,0x03165613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9249,0x03265613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x924d,0x03365613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9251,0x03465613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9255,0x03565613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9259,0x03665613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x925d,0x03765613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9261,0x03865613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9265,0x03965613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9269,0x03a65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x926d,0x03b65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9271,0x03c65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9275,0x03d65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9279,0x03e65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x927d,0x03f65613,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9281,0x0206d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9282,0x000280e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9285,0x0216d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9289,0x0226d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x928d,0x0236d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9291,0x0246d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9295,0x0256d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9299,0x0266d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x929d,0x0276d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92a1,0x0286d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92a5,0x0296d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92a9,0x02a6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92ad,0x02b6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92b1,0x02c6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92b5,0x02d6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92b9,0x02e6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92bd,0x02f6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92c1,0x0306d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92c5,0x0316d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92c9,0x0326d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92cd,0x0336d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92d1,0x0346d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92d5,0x0356d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92d9,0x0366d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92dd,0x0376d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92e1,0x0386d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92e5,0x0396d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92e9,0x03a6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92ed,0x03b6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92f1,0x03c6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92f5,0x03d6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92f9,0x03e6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x92fd,0x03f6d693,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9301,0x02075713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9302,0x000300e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9305,0x02175713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9309,0x02275713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x930d,0x02375713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9311,0x02475713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9315,0x02575713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9319,0x02675713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x931d,0x02775713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9321,0x02875713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9325,0x02975713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9329,0x02a75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x932d,0x02b75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9331,0x02c75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9335,0x02d75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9339,0x02e75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x933d,0x02f75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9341,0x03075713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9345,0x03175713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9349,0x03275713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x934d,0x03375713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9351,0x03475713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9355,0x03575713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9359,0x03675713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x935d,0x03775713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9361,0x03875713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9365,0x03975713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9369,0x03a75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
