test,reset_ordinal,release_cycle,first_fetch_cycle,first_fetch_latency,first_fetch_pc,first_commit_cycle,first_commit_latency,first_commit_pc,status
D2_LOAD_REQ_STALL,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
D3_LOAD_RESPONSE_DELAY,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
D4_LOAD_RANDOM_DELAY,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
D5_STALE_LOAD_RESPONSE_AFTER_FLUSH,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
D6_STORE_DURING_BRANCH_FLUSH,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
D7_DMEM_RESPONSE_DURING_RESET,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
D7_DMEM_RESPONSE_DURING_RESET,2,9405,10411,1006,0x0000000000010040,10869,1464,0x0000000000010040,PASS
D8_TOHOST_STORE_BACKPRESSURE,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
P0_RESET_AND_BRANCH_MISPREDICT,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
P0_RESET_AND_BRANCH_MISPREDICT,2,3435,4441,1006,0x0000000000010040,4899,1464,0x0000000000010040,PASS
P1_RESET_AND_LOAD_RESPONSE,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
P1_RESET_AND_LOAD_RESPONSE,2,9405,10411,1006,0x0000000000010040,10869,1464,0x0000000000010040,PASS
P2_RESET_AND_STORE_ACCEPT,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
P2_RESET_AND_STORE_ACCEPT,2,8718,9724,1006,0x0000000000010040,10182,1464,0x0000000000010040,PASS
P3_EXCEPTION_AND_BRANCH_MISPREDICT,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
P5_COMMIT_AND_TRACE_BACKPRESSURE,1,5,1011,1006,0x0000000000010040,1472,1467,0x0000000000010040,PASS
P6_COMMIT_AND_STORE_BACKPRESSURE,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
P7_REDIRECT_AND_IMEM_RESPONSE,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
N0_NORMAL_INDEPENDENT_ALU,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
N1_NORMAL_RAW_CHAIN,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
N2_NORMAL_BRANCH_TAKEN,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
N3_NORMAL_BRANCH_NOT_TAKEN,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
N4_NORMAL_NESTED_BRANCH,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
N5_NORMAL_LOAD_STORE,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
N6_NORMAL_TOHOST,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,2,2452,3458,1006,0x0000000000010040,3916,1464,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,3,3921,4927,1006,0x0000000000010040,5385,1464,0x0000000000010040,PASS
R9_RESET_DURING_RESET_INITIALIZATION,1,5,,,,,,,INTERRUPTED
R9_RESET_DURING_RESET_INITIALIZATION,2,29,1035,1006,0x0000000000010040,1493,1464,0x0000000000010040,PASS
R10_RESET_IMMEDIATELY_AFTER_RELEASE,1,5,,,,,,,INTERRUPTED
R10_RESET_IMMEDIATELY_AFTER_RELEASE,2,10,1016,1006,0x0000000000010040,1474,1464,0x0000000000010040,PASS
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,2,8719,9725,1006,0x0000000000010040,10183,1464,0x0000000000010040,PASS
