test,program,run_status,runtime_seconds,log,trace
I2_IMEM_RESPONSE_DELAY_1,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_I2_IMEM_RESPONSE_DELAY_1.log,reference/rtl_traces/independent_alu_I2_IMEM_RESPONSE_DELAY_1.jsonl
I3_IMEM_RESPONSE_DELAY_4,branch_not_taken,XSIM_PASS,6,reports/gate3_8/logs/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.log,reference/rtl_traces/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.jsonl
I4_IMEM_RANDOM_DELAY,nested_branch,XSIM_PASS,6,reports/gate3_8/logs/nested_branch_I4_IMEM_RANDOM_DELAY.log,reference/rtl_traces/nested_branch_I4_IMEM_RANDOM_DELAY.jsonl
I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT,branch_taken,XSIM_PASS,5,reports/gate3_8/logs/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.log,reference/rtl_traces/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.jsonl
I6_IMEM_RESPONSE_DURING_RESET,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.log,reference/rtl_traces/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.jsonl
D0_DMEM_READY_ALWAYS,load_store,XSIM_PASS,6,reports/gate3_8/logs/load_store_D0_DMEM_READY_ALWAYS.log,reference/rtl_traces/load_store_D0_DMEM_READY_ALWAYS.jsonl
D1_STORE_REQ_STALL,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_D1_STORE_REQ_STALL.log,reference/rtl_traces/independent_alu_D1_STORE_REQ_STALL.jsonl
D2_LOAD_REQ_STALL,load_store,XSIM_PASS,5,reports/gate3_8/logs/load_store_D2_LOAD_REQ_STALL.log,reference/rtl_traces/load_store_D2_LOAD_REQ_STALL.jsonl
D3_LOAD_RESPONSE_DELAY,load_store,XSIM_PASS,6,reports/gate3_8/logs/load_store_D3_LOAD_RESPONSE_DELAY.log,reference/rtl_traces/load_store_D3_LOAD_RESPONSE_DELAY.jsonl
D4_LOAD_RANDOM_DELAY,load_store,XSIM_PASS,5,reports/gate3_8/logs/load_store_D4_LOAD_RANDOM_DELAY.log,reference/rtl_traces/load_store_D4_LOAD_RANDOM_DELAY.jsonl
D5_STALE_LOAD_RESPONSE_AFTER_FLUSH,load_store,XSIM_PASS,5,reports/gate3_8/logs/load_store_D5_STALE_LOAD_RESPONSE_AFTER_FLUSH.log,reference/rtl_traces/load_store_D5_STALE_LOAD_RESPONSE_AFTER_FLUSH.jsonl
D6_STORE_DURING_BRANCH_FLUSH,branch_taken,XSIM_PASS,5,reports/gate3_8/logs/branch_taken_D6_STORE_DURING_BRANCH_FLUSH.log,reference/rtl_traces/branch_taken_D6_STORE_DURING_BRANCH_FLUSH.jsonl
D7_DMEM_RESPONSE_DURING_RESET,load_store,XSIM_PASS,6,reports/gate3_8/logs/load_store_D7_DMEM_RESPONSE_DURING_RESET.log,reference/rtl_traces/load_store_D7_DMEM_RESPONSE_DURING_RESET.jsonl
D8_TOHOST_STORE_BACKPRESSURE,tohost,XSIM_PASS,5,reports/gate3_8/logs/tohost_D8_TOHOST_STORE_BACKPRESSURE.log,reference/rtl_traces/tohost_D8_TOHOST_STORE_BACKPRESSURE.jsonl
P0_RESET_AND_BRANCH_MISPREDICT,branch_taken,XSIM_FAIL,5,reports/gate3_8/logs/branch_taken_P0_RESET_AND_BRANCH_MISPREDICT.log,reference/rtl_traces/branch_taken_P0_RESET_AND_BRANCH_MISPREDICT.jsonl
P1_RESET_AND_LOAD_RESPONSE,load_store,XSIM_PASS,6,reports/gate3_8/logs/load_store_P1_RESET_AND_LOAD_RESPONSE.log,reference/rtl_traces/load_store_P1_RESET_AND_LOAD_RESPONSE.jsonl
P2_RESET_AND_STORE_ACCEPT,tohost,XSIM_PASS,5,reports/gate3_8/logs/tohost_P2_RESET_AND_STORE_ACCEPT.log,reference/rtl_traces/tohost_P2_RESET_AND_STORE_ACCEPT.jsonl
P3_EXCEPTION_AND_BRANCH_MISPREDICT,branch_taken,XSIM_PASS,6,reports/gate3_8/logs/branch_taken_P3_EXCEPTION_AND_BRANCH_MISPREDICT.log,reference/rtl_traces/branch_taken_P3_EXCEPTION_AND_BRANCH_MISPREDICT.jsonl
P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE,load_store,XSIM_PASS,5,reports/gate3_8/logs/load_store_P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE.log,reference/rtl_traces/load_store_P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE.jsonl
P5_COMMIT_AND_TRACE_BACKPRESSURE,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.log,reference/rtl_traces/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.jsonl
P6_COMMIT_AND_STORE_BACKPRESSURE,tohost,XSIM_PASS,5,reports/gate3_8/logs/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.log,reference/rtl_traces/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.jsonl
P7_REDIRECT_AND_IMEM_RESPONSE,branch_taken,XSIM_PASS,5,reports/gate3_8/logs/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.log,reference/rtl_traces/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.jsonl
N0_NORMAL_INDEPENDENT_ALU,independent_alu,XSIM_PASS,6,reports/gate3_8/logs/independent_alu_N0_NORMAL_INDEPENDENT_ALU.log,reference/rtl_traces/independent_alu_N0_NORMAL_INDEPENDENT_ALU.jsonl
N1_NORMAL_RAW_CHAIN,raw_chain,XSIM_PASS,5,reports/gate3_8/logs/raw_chain_N1_NORMAL_RAW_CHAIN.log,reference/rtl_traces/raw_chain_N1_NORMAL_RAW_CHAIN.jsonl
N2_NORMAL_BRANCH_TAKEN,branch_taken,XSIM_PASS,5,reports/gate3_8/logs/branch_taken_N2_NORMAL_BRANCH_TAKEN.log,reference/rtl_traces/branch_taken_N2_NORMAL_BRANCH_TAKEN.jsonl
N3_NORMAL_BRANCH_NOT_TAKEN,branch_not_taken,XSIM_PASS,6,reports/gate3_8/logs/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.log,reference/rtl_traces/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.jsonl
N4_NORMAL_NESTED_BRANCH,nested_branch,XSIM_PASS,5,reports/gate3_8/logs/nested_branch_N4_NORMAL_NESTED_BRANCH.log,reference/rtl_traces/nested_branch_N4_NORMAL_NESTED_BRANCH.jsonl
N5_NORMAL_LOAD_STORE,load_store,XSIM_PASS,5,reports/gate3_8/logs/load_store_N5_NORMAL_LOAD_STORE.log,reference/rtl_traces/load_store_N5_NORMAL_LOAD_STORE.jsonl
N6_NORMAL_TOHOST,tohost,XSIM_PASS,5,reports/gate3_8/logs/tohost_N6_NORMAL_TOHOST.log,reference/rtl_traces/tohost_N6_NORMAL_TOHOST.jsonl
