cycle,frontend_pc,imem_req_valid,imem_req_ready,imem_req_fire,request_addr,request_fetch_id,request_epoch,outstanding_valid,response_valid,response_ready,response_fire,response_match_id,response_match_epoch,response_match_addr,decode_hold_valid,decode_ready,decode_fire,rename_fire,dispatch_fire,rob_allocate,rob_count,rob_head,rob_tail,commit_valid,redirect_valid,flush_valid,stale_response,reason_no_request
77,65756,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,6,7,1,0,0,0,held_entry
78,65756,1,1,1,65756,39,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7,7,1,0,0,0,none
79,65760,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,7,8,1,0,0,0,held_entry
80,65760,1,1,1,65760,40,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,1,0,0,0,none
81,65764,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,8,9,1,0,0,0,held_entry
82,65764,1,1,1,65764,41,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9,9,1,0,0,0,none
83,65768,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,9,10,1,0,0,0,held_entry
84,65768,1,1,1,65768,42,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,10,10,1,0,0,0,none
85,65772,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,10,11,1,0,0,0,held_entry
86,65772,1,1,1,65772,43,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,11,11,1,0,0,0,none
87,65776,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,11,12,1,0,0,0,held_entry
88,65776,1,1,1,65776,44,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,12,12,1,0,0,0,none
89,65780,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,12,13,1,0,0,0,held_entry
90,65780,1,1,1,65780,45,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13,13,1,0,0,0,none
91,65784,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,13,14,1,0,0,0,held_entry
92,65784,1,1,1,65784,46,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,14,14,1,0,0,0,none
93,65788,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,14,15,1,0,0,0,held_entry
94,65788,1,1,1,65788,47,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,15,15,1,0,0,0,none
95,65792,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,15,16,1,0,0,0,held_entry
96,65792,1,1,1,65792,48,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,16,16,1,0,0,0,none
97,65796,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,16,17,1,0,0,0,held_entry
98,65796,1,1,1,65796,49,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,17,17,1,0,0,0,none
99,65800,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,17,18,1,0,0,0,held_entry
100,65800,1,1,1,65800,50,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,18,18,1,0,0,0,none
101,65804,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,18,19,1,0,0,0,held_entry
102,65804,1,1,1,65804,51,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,19,19,1,0,0,0,none
103,65808,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,19,20,1,0,0,0,held_entry
104,65808,1,1,1,65808,52,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,20,20,1,0,0,0,none
105,65812,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,20,21,1,0,0,0,held_entry
106,65812,1,1,1,65812,53,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,21,21,1,0,0,0,none
107,65816,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,21,22,1,0,0,0,held_entry
108,65816,1,1,1,65816,54,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,22,22,1,0,0,0,none
109,65820,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,22,23,1,0,0,0,held_entry
110,65820,1,1,1,65820,55,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,23,23,1,0,0,0,none
111,65824,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,23,24,1,0,0,0,held_entry
112,65824,1,1,1,65824,56,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,24,24,1,0,0,0,none
113,65828,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,24,25,1,0,0,0,held_entry
114,65828,1,1,1,65828,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,25,25,1,0,0,0,none
115,65832,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,25,26,1,0,0,0,held_entry
116,65832,1,1,1,65832,58,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,26,26,1,0,0,0,none
117,65836,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,26,27,1,0,0,0,held_entry
118,65836,1,1,1,65836,59,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,27,27,1,0,0,0,none
119,65840,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,27,28,1,0,0,0,held_entry
120,65840,1,1,1,65840,60,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,28,28,1,0,0,0,none
121,65844,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,28,29,1,0,0,0,held_entry
122,65844,1,1,1,65844,61,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,29,29,1,0,0,0,none
123,65848,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,29,30,1,0,0,0,held_entry
124,65848,1,1,1,65848,62,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,30,30,1,0,0,0,none
125,65852,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,30,31,1,0,0,0,held_entry
126,65852,1,1,1,65852,63,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,31,31,1,0,0,0,none
127,65856,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,31,0,1,0,0,0,held_entry
